Trial,Mu_Option1,Mu_Option2,Mu_Option3,Reward_Option1,Reward_Option2,Reward_Option3
1,46.0190425589345,59.8370888905535,52.0747041565201,41.0028908948566,63.063400032843,36.1883560629528
2,46.1918153179532,60.2182631899484,50.3560056506528,54.6309162329394,50.8823788037188,47.1468995759896
3,46.1716375144512,59.7748794821852,50.9266742200935,40.6028700118536,60.9034313852244,59.2393063763425
4,48.052857374758,59.8780807026405,51.3530461530251,46.5131059228958,58.0546043193619,56.393942950757
5,49.546525277036,59.0771867866983,51.3323188420943,47.5450101995428,55.5957887359075,47.0725994559941
6,49.5598790897465,58.8126540514146,52.1209823583755,47.8320430910163,61.2091096609821,66.0134282076435
7,50.8732606048308,58.3562545830419,51.4357064632668,40.5974839144603,63.135274920058,48.8417542775043
8,50.832028792954,58.3887128379741,50.1640828531143,55.375165726306,56.9083443581277,45.2848262674165
9,51.0680724206707,59.4934759939737,49.2516893973965,53.982589182664,56.0295200054985,46.0026177630427
10,51.1694388777093,57.9439091188808,49.9337607446966,52.5181601637404,55.7865597609854,46.5231234856372
11,48.8153673261322,58.1333052768164,50.5113958100008,52.548833866443,58.9224105762348,55.0050507382886
12,49.7004910990302,57.7212779735808,51.9264375992902,48.878262964018,60.0990224836163,52.1752930111623
13,48.0885275177946,59.1211137129095,53.1946699831168,51.8982969090578,62.6335584417474,49.8057501442077
14,47.9602735689489,60.0443790890968,53.1263497294195,58.349843657049,57.1893855396714,58.2563573753572
15,48.5507835277129,60.0758697478201,53.3033018284514,47.9462106804232,55.6839684533464,55.7789458683254
16,48.8885386116863,60.8678196784936,53.1941117887543,52.2895752680875,55.3989685120712,44.8147424707782
17,49.5173040468163,61.7253580015373,52.4237695438394,47.7897491005575,63.5449654420048,49.7281469168536
18,49.9052968635562,61.1612102175441,51.2276651177548,52.1495718870368,59.4986329634951,43.8278438374429
19,49.7612172417197,60.0533637202862,50.3591486975913,47.7275348746823,65.080883789363,43.4895163811724
20,49.1651229844724,60.3049937964866,50.6045949960309,49.9883043930491,66.9401480919746,53.0572707719278
