Trial,Mu_Option1,Mu_Option2,Mu_Option3,Reward_Option1,Reward_Option2,Reward_Option3
1,39.9097710284974,33.1992205268436,49.7626438169097,39.2757611397292,26.1391814983164,42.0511327902787
2,37.6393535287811,30.9880931995487,49.5691254358308,41.4810595945969,26.3476480203526,49.7203033935493
3,39.4910291006095,33.620701760571,50.6587340387138,27.9033155083981,34.7338100147959,51.7014579288897
4,39.43030116885,32.3260235165413,50.8276035425703,42.9167712424284,36.9006300657128,53.5238935305445
5,39.507438689399,31.9900961371109,48.9695126316314,41.7265746694061,31.0234640125779,49.139549435955
6,38.9551867073911,32.1886625289826,50.7119859078216,39.8666776657833,30.9779063104865,51.4025616912272
7,38.4445092575537,31.6967566545504,51.4178942156395,29.0495807628371,30.9486867790898,45.7034182747193
8,37.6490256537043,31.0513824531309,53.0549920294585,37.0156206074826,34.7813950951193,56.6017178036647
9,39.2136065630131,32.6392006154717,52.8013329381301,38.6948659722684,37.8145970612124,50.6410114568717
10,42.0695689048447,32.6220189848539,52.3416757748246,34.8567690490643,31.1108557130492,49.080244644879
11,42.3170038012275,32.484465810689,52.470676081525,41.2121496264842,33.1629686766222,49.9179322340695
12,43.0444767899602,32.2992820086711,53.1322619586567,41.0378142534937,30.9238854643643,46.5014971074468
13,43.1821669899411,33.0177547654749,53.379344324753,34.8720366459902,30.392175311941,49.1833471722489
14,42.0037154358108,32.8289523485138,53.5679379033071,45.0477148355039,36.0058325278912,49.3884313421086
15,42.8469184927605,33.0003291553118,54.3851565265887,35.8962756619621,25.6773002504359,42.4538701863084
16,44.0228175382018,32.8844066861042,54.165850966078,43.8827921813929,32.4944849418353,53.9529962133446
17,43.7075810875288,33.1770623471941,53.8641938928521,45.7526519871452,22.41754562079,54.6251581147445
18,42.3518487811624,33.8944196069459,53.5861565419334,40.4316831109646,39.2245572275404,54.7334921936669
19,41.0042346151024,33.2498768476607,54.6915401859727,40.48936419385,28.0872053996119,47.4357219088607
20,39.8564583271634,34.551241569439,55.3455131654712,40.5666280453778,34.0614532758511,51.8040110429978
21,40.6243033922731,34.6010045080877,57.268676849989,37.3139957527672,29.3743286432553,64.8657259104085
22,41.9317090830065,35.6034983403974,57.6093097873396,42.9200374073601,33.5319689298622,61.053224282716
23,40.6266256490095,34.7059596026111,57.08477769955,41.8413444452709,30.3757137909277,61.2969868925028
24,40.7918215683136,35.4071106090873,57.1719941099691,32.7541545871088,28.8510697268021,55.5288298610404
25,40.8298713833854,34.9777346099439,55.9797964015633,43.4496608246877,36.0256501350498,52.2106533145589
26,40.3237076568423,35.2701226011392,54.4192713072383,37.8438395837668,33.3145947129267,50.5800624039294
27,39.7557408500078,35.0852598815571,54.3742376356024,39.8360514775937,34.890289334912,56.5965281289746
28,40.4943981698103,33.5789919305882,53.5758059337244,36.9615406229886,32.7943559223864,58.4305429287709
29,41.1426011657208,31.5566587814876,54.0553598904181,44.0911526333957,33.043973965575,50.2378633372424
30,42.9627422176983,31.014385825668,53.2905444080236,34.3577342972693,35.3427404502359,49.7238462088205
31,43.4731328799404,32.3370820538025,54.5354628254238,45.252750524035,30.7864560533988,61.0009240996319
32,41.0067588255866,31.2245249139237,52.6994716618072,38.0395261540277,30.8702587707749,54.2271402551838
33,41.6884324299094,31.2989862158209,52.5407106257017,44.5044598854525,29.9982889807053,45.1263425155567
34,41.3587083550914,32.1273612620822,51.9968224627291,44.6332040459526,33.4002006133059,53.1163119140608
