Trial,Mu_Option1,Mu_Option2,Mu_Option3,Reward_Option1,Reward_Option2,Reward_Option3
1,50.6668472175315,56.0331876521573,43.5890971621579,47.7163925521646,54.9166814682168,38.8593969411023
2,51.5050868523348,54.8276044503673,43.9941833031308,50.3502745519291,49.4718505740375,43.0548748658491
3,51.9234955758731,55.3577386674065,45.271022477255,59.4465605869391,47.0871909666122,49.1299628953987
4,52.7000959031864,54.916067489168,46.6977832950953,50.6090350809774,50.9722414327849,56.7331022958157
5,52.6973655944517,55.3888163594273,46.0431176200763,47.5377424556817,53.3873933396551,42.3805258231978
6,53.8589539214095,54.4336906224266,46.6506460004981,55.1528287271111,53.6267871959413,44.2144435693249
7,53.2276649328093,53.4297149683246,45.344133821384,58.1580910421889,47.734973878617,41.1427314855605
8,53.9053309318871,52.9364381869086,47.7929599127402,48.7489863204515,52.0814796642606,47.0449405380764
9,53.1540587445035,51.1917901289815,48.6035434123811,52.674123344131,52.3930852781657,46.6443550193642
10,52.5945610879735,51.4420990957843,47.8289655659774,47.5548836764387,55.6781204541757,46.2710512003445
11,51.387093152745,51.6443839476053,47.3961608801074,54.357399571818,58.0255132369189,45.2674647397939
12,50.0607134554832,49.366912387712,46.0059685964816,46.4612874326227,50.5206388565625,49.158166913361
13,48.1762342492547,49.2077931417133,45.4845668616294,54.4323959943912,47.3222537920341,45.4413677343347
14,47.8394923182918,48.454785479802,45.3501227655962,49.6643097628764,46.883510361242,43.4603931042355
15,46.6253586513394,48.5262225315136,44.6730555565019,44.9880107139106,46.8252285134869,49.9317601296958
16,47.1980198072531,50.5970301629886,45.3843951751848,40.9796206296247,54.1162508126347,48.3348722074391
17,47.6413486356361,51.8953701901153,45.4070469168432,42.9179973055957,56.9480870684988,47.7237967911375
18,47.4423183890961,53.3967735731404,46.0393371523554,49.1150741347073,58.2097986791904,44.5820914792472
19,47.476466352949,53.8684966662522,45.4252830385064,49.7870752976738,53.9534806950314,46.342347587664
20,47.2025123226248,54.6622493449809,44.4117964300803,44.723946301934,49.3094915542536,46.4825117324758
21,46.3766092762764,52.1891529023336,42.8171716771788,53.5589995777726,53.263877951201,37.2900930568322
22,45.6655003608931,52.5154040641983,41.9245126498736,47.4333464079496,52.2895574095104,48.1721545370897
23,45.9623205725256,52.1484343426711,41.5355847706141,54.9897454362236,48.1282677309936,42.1466511235213
24,44.4979769845483,52.2728328986993,42.5720392754468,45.3139457317836,53.7611084774604,38.8132441016057
25,46.2379313982332,53.6747345097643,41.3241004911192,48.8644380757002,59.1893548676729,44.4848322110884
26,46.1313054510952,52.0755938752686,41.2885735592634,46.8173417774147,54.8841255745007,41.2780387878598
27,46.752682947658,53.0042208575327,41.0534128826183,53.5945811616915,55.5767981147301,40.8067134498809
28,46.7109124132062,51.9333247988553,40.8178295417123,47.2297670613933,52.2215393626525,38.6677211210951
29,47.7143450444085,50.5977575799539,42.3831519277572,46.7581426199942,46.5279259293162,37.6918407962967
30,48.9968672453076,50.8883889663429,42.3405281210077,59.9848348124351,52.4147370246381,42.7352986887951
31,50.3772754402013,51.6143455654006,40.2716764325783,49.9332362519142,45.9399791923437,45.5470255617289
32,49.6241953210206,52.1450565393367,40.4172437133189,50.3101732467977,47.785618803989,39.7195811527757
33,50.4357975640775,52.8723608980944,41.3930600144668,54.7163092808555,51.2991025542818,47.0317160801967
34,52.039220624939,52.1134926110027,42.1002928809218,51.9997080968108,50.4087335051207,41.0733306964774
35,53.116858545726,50.1833959814836,42.7430995512856,49.9797491867704,41.9852028620034,45.5395893659482
36,52.2932798581893,50.5120287308542,41.6393347977958,51.7064242714863,50.5277885138333,38.9741059667927
37,52.1161735802735,50.3433107299289,40.8899701761794,51.6337510154964,48.111253702496,43.3134171249349
38,52.3385196351194,51.1330767613472,40.6167016987594,52.1799727658682,48.361566343041,40.1033063956991
39,53.3857061892489,50.4142973944067,40.2210274553617,54.0182877591227,46.9797971188777,33.8801350995395
40,53.9223600502826,50.5886370889112,41.8462183639443,57.9722121520462,49.6149727611152,35.2150018396781
41,53.0517417742565,51.0917865765483,45.0680399384847,47.3068555313986,53.2904248457627,35.8738495998905
42,53.589689480512,52.9327802416426,46.5807242638294,50.6735756340777,49.148393383045,44.6357136496154
43,54.0669580330369,52.4082351267941,47.5880605302319,57.6690994427098,56.0828216494542,51.8615146738529
44,54.5019874147402,53.0074436702563,48.5676976977729,51.7787540391919,59.2979773572143,44.6770589794101
45,55.5214811513236,52.618941711672,47.9102668619445,48.293393929072,59.0840320642442,52.0025806915483
46,54.3441063966662,53.0010940196802,47.7561975546637,56.9137344234953,57.8358755028439,47.9184612436357
47,53.29937972084,52.714862418039,48.4385312919662,53.8107773466758,52.8596099368016,47.3186878931935
48,53.002273890714,51.5642680142938,49.5603497499536,53.5900883492659,52.8966973028158,51.0957673772344
49,53.4512767790679,52.7142734603686,49.5306704547852,50.7025938438751,56.0614931458181,51.7543151067663
50,50.7646376851129,52.1597370245502,50.1073611956843,49.1431421227715,53.4701673240212,38.3552819024262
51,51.4623928233353,51.2899474246283,51.6710977538823,58.4745383265938,53.6105286429651,61.9954512672867
52,52.0867284718908,51.2041519341802,52.8797230876618,51.1701371472395,46.6628454112148,54.7215831184771
53,51.6649517144569,50.7544725120728,52.0695203326559,54.8174955069569,54.1538274582547,53.6086483189067
