Trial,Mu_Option1,Mu_Option2,Mu_Option3,Reward_Option1,Reward_Option2,Reward_Option3
1,54.6664560101792,49.9309932943393,44.5131862415012,51.7503546987328,50.6836704907191,50.0066874243658
2,53.7355719633338,50.8509666868426,43.5414340448442,55.7429102116123,62.0708114770304,47.998845798518
3,54.0794093727979,52.819342978168,43.181478120968,49.8434196861316,50.2607341476352,46.3183415926195
4,53.9907359858621,51.4739660941802,43.4080574314101,49.0356462622523,58.6553974030567,49.6068523925439
5,54.2030959658018,51.7345721418915,42.2604308522226,56.4263517774791,46.342949875541,47.7046934777529
6,52.1257276710548,51.8800057196652,41.9659744416944,47.2501809125934,50.4359376055908,37.9058007738429
7,50.9677582472454,51.2068631340766,42.2871661287647,44.9200139087249,53.3214465332753,34.8843815152023
8,50.6550738079911,52.6191508717756,41.6327347461606,45.5646797848255,46.1366047095478,44.3769788865175
9,49.6931561582882,51.4563643308752,41.3390147360309,50.8246716882502,47.9427083022069,39.9218969030643
10,50.3116809786787,50.1488036541156,40.5822334863234,47.8013498388489,45.2505351983793,43.2502212238069
11,50.3503836538456,51.4340086659826,39.8146875417649,53.1180792702162,45.4788647717162,37.4080957805869
12,49.3983341904429,51.6407027330927,41.0850710939137,60.2341686142126,50.0755600928357,43.2624629123239
13,49.3027861372486,50.1084156653597,39.8286843310296,49.5731612408325,48.3783680021756,33.8903742474698
14,48.9212618874946,49.3969096948354,41.4767883004297,50.9978842197678,52.3199236311282,42.727026135085
15,47.6454669347944,50.2417295342835,40.8417283350253,56.4455781706949,50.1129194030098,37.2793736169412
16,46.5634525965346,50.6305722935864,40.865037464408,47.9396358246788,51.7007953768391,41.2825232851263
17,45.9033240637967,50.7476999170281,41.5486215210228,53.3480779698009,56.16817855327,34.6755214892215
18,45.273071286743,50.7241891165499,42.4622220498557,40.7582542985747,49.1563480621322,41.9518355903606
19,46.2938944624105,51.1932652182332,42.5416156854053,41.3444060332759,47.9366364316301,47.8612897533741
20,46.3627478718401,50.7381687179021,42.6564529480798,52.7120058234331,49.164282413805,45.8759590852975
21,46.1656053312904,49.5750729365322,42.2523352035334,44.7402021031609,56.5507158573321,39.223191691629
22,45.9989515588017,50.5752602659341,42.6895059554982,42.267040282553,54.2979346627994,49.7537172122777
23,45.387381202066,49.0937910229013,41.209510306301,40.6934313236817,53.818009798265,36.7135195136828
24,46.873520440551,50.7203404896433,41.773214953862,46.7946984227946,50.7365834531663,43.5725258325782
25,48.2989263413485,50.049469285501,42.5106058697955,55.1307375508089,50.6524154051757,37.6672353958075
26,47.5565240443596,50.0599852911041,42.9670828161249,50.7218161284004,45.9727583904996,42.9647562846773
27,48.6942300257537,50.1763062701728,42.7943488088043,56.9746128643447,55.3958874184336,38.4316810133935
28,49.1102481999434,50.4841138106937,42.2413530290731,49.4187249636898,45.3512611847077,53.2601727499106
29,47.1075054250003,50.6833772361783,42.2281628945291,47.7078287074806,50.9770676521702,39.8919265741265
30,46.9848549046477,50.3124698881933,43.5752453306962,43.5111103316389,48.2628678679575,36.4134747657134
31,47.5038432235408,49.9856704356597,41.8078442670288,38.4688061210078,53.2854000573371,48.4787701518023
32,48.756378018722,50.1304672189746,40.3772234983793,52.6624280139468,45.2639662205102,35.0035871793166
33,49.8270342494064,50.3644692516193,40.8888901129233,47.6534011978069,53.9154174519561,37.2949562319178
34,49.1499148637923,47.6081410103732,41.2148794052833,48.6370104471426,45.5208678830086,38.7936381158906
35,48.7641841921395,47.7752897919239,41.5533788590096,56.8596774721342,49.2361773976587,48.9978449139987
36,48.6927420374293,48.9149636402901,41.7660412822493,55.8330357628407,43.2079858881926,38.7462270126256
37,48.3492746081259,49.9228834655385,40.0873869170083,54.822136318669,48.2875030506803,38.6086142008307
38,47.4896997742509,49.5701745303742,41.7190860708642,46.400872185172,51.3379262193017,44.0554788850029
39,48.6835322103249,50.6268380277371,41.8840329749275,47.343389061111,56.8788004225659,38.938929984492
40,47.623099252163,48.7962479692092,41.0331245821602,48.951544845494,57.8475417765934,33.1742486639542
41,46.0035972821052,47.6049701721682,41.7312220614641,51.5252283348421,46.9003222587131,42.4930788323811
42,45.9175604117785,49.1812809366447,42.8276948531131,42.6282496199063,52.7906704392027,46.2160091416203
43,46.0734738300121,48.9472681534535,42.8071814153885,49.7668487894218,50.3384752030177,41.1823989490861
44,46.7410471548983,48.6216667111339,44.3007658155758,50.4841670504016,44.9655332313022,44.5299044263001
45,47.2811263436795,47.6494770909569,43.4720708781445,45.2236904448093,48.5887315997724,47.2786178978759
46,47.0144628529741,49.1126038758927,42.9816245436087,52.2635233864071,48.4094617135001,45.347281945467
47,45.4441647481659,48.1256894278303,42.9146694564894,41.2345043925078,50.775068891179,44.0102247580892
48,46.5094950643693,48.8074207448464,42.9608041709433,46.5948915989673,37.4729395275604,45.2582486549344
49,48.1177349749201,47.4759968389751,43.5066657515752,54.6385896867386,47.7247158456076,37.5219895448933
50,50.4509015425098,46.8631925029251,43.10336020651,50.422799194057,44.9929669295162,46.4934611753271
51,49.0517279027396,46.703470376869,43.9643183039807,52.8724184508922,43.5382415890397,45.1948618511889
52,49.981908948511,45.3778360268015,42.7831833994683,50.3257040188702,40.8307485773229,33.7199355846561
53,50.6600098655113,43.9454902731721,43.0902570750279,42.2989212054033,39.9305239272503,54.5122289098456
54,51.3473882211326,43.6664965188483,41.8436822699703,46.3474488069196,34.7350969960048,45.3929509918149
55,50.5891505566556,45.1470143933134,41.8220913613657,42.2504039205627,45.2596348767182,45.0631246093826
56,50.437641252458,45.5172507519446,41.8107900071577,49.8119023499762,44.4821930237075,33.4664698450798
57,51.0215584789436,45.1041698723676,41.3175783228645,45.9575768248435,44.8431924386046,41.2340454437909
58,51.8572668573949,45.6208236871175,41.5627056651881,58.9309977421212,43.7728674738892,40.4512373059209
59,52.3268720941383,46.6899473293178,42.3464891066398,56.1750199285512,42.4887768898111,35.2581301911843
60,52.4301952763213,46.9664968015503,43.2633131020331,51.6199842861093,54.0473536630879,38.6862219740136
61,51.6995422763751,45.3724974984824,43.6229753737892,48.1506106031854,36.8884772445933,42.8820872198048
62,52.2256818144745,44.058077464179,43.6254118852488,56.0175676644623,41.181367786149,43.835779101743
63,52.3464708712595,44.463531603482,42.9003858487182,53.057391195677,37.2814694143171,43.2123822551856
64,52.7758041154642,44.1215791585304,41.5166574305266,51.2871562446313,35.3973412854776,38.254826357441
65,52.8256662484014,45.9107109799685,42.2120025325948,54.6696531720404,50.3092807237115,45.8984783460389
66,52.7537394291352,47.919678763519,43.0182247075681,50.9849442927502,42.7212958943413,38.427954411314
67,52.8318734629725,47.2247967322019,42.5919140656522,54.0583982636285,42.391902496465,46.6827366211521
68,53.7665842579272,49.4526249228719,42.3069379971462,57.2895414354528,45.6592148346626,33.6249121465369
